Category: All categories

Week,Nintendo: (United States)
2014-04-20,12
2014-04-27,13
2014-05-04,13
2014-05-11,13
2014-05-18,14
2014-05-25,17
2014-06-01,18
2014-06-08,35
2014-06-15,18
2014-06-22,16
2014-06-29,16
2014-07-06,15
2014-07-13,17
2014-07-20,15
2014-07-27,15
2014-08-03,15
2014-08-10,13
2014-08-17,13
2014-08-24,15
2014-08-31,14
2014-09-07,15
2014-09-14,14
2014-09-21,13
2014-09-28,14
2014-10-05,14
2014-10-12,14
2014-10-19,15
2014-10-26,14
2014-11-02,17
2014-11-09,15
2014-11-16,19
2014-11-23,27
2014-11-30,22
2014-12-07,21
2014-12-14,22
2014-12-21,29
2014-12-28,21
2015-01-04,16
2015-01-11,22
2015-01-18,20
2015-01-25,16
2015-02-01,23
2015-02-08,19
2015-02-15,20
2015-02-22,17
2015-03-01,15
2015-03-08,15
2015-03-15,17
2015-03-22,15
2015-03-29,25
2015-04-05,15
2015-04-12,15
2015-04-19,13
2015-04-26,12
2015-05-03,13
2015-05-10,15
2015-05-17,13
2015-05-24,14
2015-05-31,15
2015-06-07,15
2015-06-14,30
2015-06-21,15
2015-06-28,16
2015-07-05,15
2015-07-12,26
2015-07-19,15
2015-07-26,16
2015-08-02,14
2015-08-09,14
2015-08-16,14
2015-08-23,13
2015-08-30,13
2015-09-06,14
2015-09-13,14
2015-09-20,13
2015-09-27,13
2015-10-04,12
2015-10-11,13
2015-10-18,13
2015-10-25,14
2015-11-01,13
2015-11-08,20
2015-11-15,15
2015-11-22,22
2015-11-29,19
2015-12-06,20
2015-12-13,22
2015-12-20,24
2015-12-27,19
2016-01-03,14
2016-01-10,13
2016-01-17,15
2016-01-24,14
2016-01-31,14
2016-02-07,13
2016-02-14,14
2016-02-21,17
2016-02-28,19
2016-03-06,15
2016-03-13,14
2016-03-20,15
2016-03-27,17
2016-04-03,15
2016-04-10,14
2016-04-17,13
2016-04-24,15
2016-05-01,14
2016-05-08,14
2016-05-15,13
2016-05-22,13
2016-05-29,15
2016-06-05,15
2016-06-12,28
2016-06-19,16
2016-06-26,15
2016-07-03,16
2016-07-10,48
2016-07-17,34
2016-07-24,26
2016-07-31,20
2016-08-07,17
2016-08-14,16
2016-08-21,15
2016-08-28,17
2016-09-04,18
2016-09-11,16
2016-09-18,16
2016-09-25,16
2016-10-02,16
2016-10-09,15
2016-10-16,60
2016-10-23,29
2016-10-30,23
2016-11-06,62
2016-11-13,51
2016-11-20,67
2016-11-27,49
2016-12-04,52
2016-12-11,47
2016-12-18,53
2016-12-25,38
2017-01-01,27
2017-01-08,65
2017-01-15,48
2017-01-22,31
2017-01-29,28
2017-02-05,31
2017-02-12,29
2017-02-19,40
2017-02-26,94
2017-03-05,90
2017-03-12,55
2017-03-19,48
2017-03-26,42
2017-04-02,35
2017-04-09,37
2017-04-16,30
2017-04-23,33
2017-04-30,32
2017-05-07,29
2017-05-14,28
2017-05-21,28
2017-05-28,27
2017-06-04,29
2017-06-11,44
2017-06-18,31
2017-06-25,36
2017-07-02,30
2017-07-09,27
2017-07-16,29
2017-07-23,30
2017-07-30,27
2017-08-06,25
2017-08-13,25
2017-08-20,25
2017-08-27,23
2017-09-03,24
2017-09-10,27
2017-09-17,25
2017-09-24,37
2017-10-01,28
2017-10-08,26
2017-10-15,27
2017-10-22,32
2017-10-29,36
2017-11-05,42
2017-11-12,45
2017-11-19,82
2017-11-26,57
2017-12-03,49
2017-12-10,50
2017-12-17,55
2017-12-24,80
2017-12-31,42
2018-01-07,36
2018-01-14,39
2018-01-21,29
2018-01-28,28
2018-02-04,26
2018-02-11,25
2018-02-18,26
2018-02-25,26
2018-03-04,35
2018-03-11,29
2018-03-18,27
2018-03-25,27
2018-04-01,25
2018-04-08,22
2018-04-15,24
2018-04-22,24
2018-04-29,23
2018-05-06,23
2018-05-13,23
2018-05-20,23
2018-05-27,27
2018-06-03,27
2018-06-10,58
2018-06-17,35
2018-06-24,34
2018-07-01,33
2018-07-08,32
2018-07-15,32
2018-07-22,29
2018-07-29,29
2018-08-05,31
2018-08-12,28
2018-08-19,26
2018-08-26,26
2018-09-02,30
2018-09-09,35
2018-09-16,33
2018-09-23,29
2018-09-30,26
2018-10-07,26
2018-10-14,25
2018-10-21,25
2018-10-28,33
2018-11-04,36
2018-11-11,45
2018-11-18,96
2018-11-25,64
2018-12-02,61
2018-12-09,69
2018-12-16,69
2018-12-23,100
2018-12-30,56
2019-01-06,40
2019-01-13,35
2019-01-20,33
2019-01-27,34
2019-02-03,30
2019-02-10,41
2019-02-17,32
2019-02-24,32
2019-03-03,31
2019-03-10,29
2019-03-17,28
2019-03-24,28
2019-03-31,27
2019-04-07,28
2019-04-14,27
